Colfax Av,8950 S,2600 E,SW of South Chicago Av,Skwy,E0147,11,8,08/22/2006 
Colfax Av,8930 S,2600 E,SW of South Chicago Av,Railroad,R0353,11,8,08/22/2006 
Colfax Av,9430 S,2600 E,N. of 95th St,Railroad,R0354,11,10,08/22/2006 
Columbia Av,1350 W,6732 N,E. of Glenwood Av,CTA,X0166,11,8,07/25/2006 
Columbus Dr,300 N,300 E,At Wacker Dr (Int. Level),Multi,ML003,14,2,12/09/2009 
Columbus Dr,250 N,300 E,S. of  Wacker Dr (Int. Level),Ped Walkway,P0009,14,2,12/08/2009 
Columbus Dr,130 N,300 E,S of Randolph St,Ped Walkway,P0001,14,4,08/23/2006 
Columbus Dr. Ramp (NB),150 N,300 E,Randolph St. (to Int. ,Multi,ML006,"",NP,12/09/2009 
"","","",Columbus) ,"","","","",""
Columbus Dr. Ramp (SB),150 N,300 E,Columbus (to Lower ,Multi,ML007,13,8,12/09/2009
"","","",Randolph) ,"","","","",""
Columbus Dr. (Int. Level),250 N,300 E,At South Water St. (Int. ,Multi,ML002,14,2,12/08/2009 
"","","",Level) ,"","","","",""
Columbus Dr. (Int. Level),200 N,300 E,At Lake St. (Int. Level),Multi,ML033,"",NP,12/09/2009 
Columbus Dr. (Lower Level),200 N,300 E,Lake St. (Lower Level),Multi,ML005,13,8,12/09/2009 
Columbus Dr. (Lower Level),250 N,300 E,South Water St. (Lower ,Multi,ML001,14,2,12/08/2009 
"","","",Level) ,"","","","",""
Columbus Dr. (Lower Level),300 N,300 E,Wacker Dr. (Lower Level),Multi,ML004,14,0,12/09/2009 
Commercial Av,9350 S,3000 E,N. of 94th St,Skwy,E0148,13,6 EX,08/17/2006 
Commercial Av,9340 S,3000 E,S. of South Chicago Av,Railroad,R0359,"",NP,08/17/2006 
Commercial Av,9450 S,3000 E,N. of 95th St,Railroad,R0357,14,4,08/17/2006 
Commercial Av,9440 S,3000 E,N. of 95th St,Railroad,R0360,14,4,08/17/2006 
Commercial Av,9430 S,3000 E,N. of 95th St,Railroad,R0361,14,4,08/17/2006 
Commercial Av,9330 S,3000 E,S. of South Chicago Av,Railroad,R0358,13,6 EX,08/17/2006 
Commercial Av,9320 S,3000 E,S. of South Chicago Av,Railroad,R0356,13,6 EX,08/17/2006 
Concord Pl,2100 W,1632 N,W. of Milwaukee Av,CTA,X0167,14,0,09/15/2006 
Congress Pkwy,50 E,500 S,Wabash Av,CTA,X0169,14 E-W / 13 N-S,2 E-W / 10 N-S,12/09/2009 
Congress Pkwy,2600 W,500 S,W. of Maplewood Av,Railroad,R0362,11,8,12/17/2009 
Congress Pkwy,1710 W,500 S,W. of Maplewood Av,CTA,X0168,"",NP,09/15/2006 
Congress Pkwy,150 W,500 S,LaSalle St,Railroad,R0364,13,6,02/28/2006 
Corbett St,2520 S,950 W,N. of Archer Av,Railroad,R0365,10,2,03/08/2006 
Corbett St,2522 S,950 W,N. of Archer Av,CTA,X0170,10,2,03/09/2006 
Corbett St,2524 S,950 W,N. of Archer Av,CTA,X0171,10,2,03/09/2006 
Cornelia Av,1820 W,3500 N,W. of Ravenswood Av,CTA,X0172,"",NP,07/31/2006 
Cornelia Av,940 W,3500 N,E. of Sheffield Av,CTA,X0173,"",NP,08/01/2006 
Cornelia Av,1800 W,3500 N,Ravenswood Av,Railroad,R0366,12,0,07/31/2006 
Cortland St,1540 W,1900 N,E. of Ashland Av,Railroad,R0368,12,6,08/08/2006 
Cortland St,1550 W,1900 N,E. of Ashland Av,Railroad,R0369,12,6,08/08/2006 
Cortland St,3840 W,1900 N,E. of Springfield Av,Railroad,R0367,11,8,08/10/2006 
Cortland St,1620 W,1900 N,W. of Ashland Av,Expy,E0059,12,6,08/08/2006 
Cortland Street Bridge,1440 W,1900 N,N.B. of the Chicago River,Overhead ,BAS03,"",NP,12/07/2009 
"","","","",Bascule ,"","","",""
Cottage Grove Av,7200 S,800 E,S. of 71st St,Skwy,E0149,13,0,02/27/2006 
Cottage Grove Av,9430 S,800 E,N. of 95th St,Railroad,R0370,13,7 EX,02/27/2006 
